Model,Accuracy,Precision,Recall,F1,Timestamp
BaselineBert,0.7527409117137911,"{0: 0.18902439024390244, 1: 0, 2: 0.7807389460932768}","{0: 0.1657754010695187, 1: 0.0, 2: 0.9673545966228893}","{0: 0.17663817663817663, 1: 0, 2: 0.8640858052622759}",2025-01-07/07:35:11
SentimentBert,0.9971148297749567,"{0: 0.9689119170984456, 1: 1.0, 2: 0.9985001874765654}","{0: 1.0, 1: 0.9869706840390879, 2: 0.999249530956848}","{0: 0.9842105263157895, 1: 0.9934426229508196, 2: 0.9988747186796699}",2025-01-08/05:59:58
BlankBert,0.9982688978649741,"{0: 0.9790575916230366, 1: 0.996742671009772, 2: 1.0}","{0: 1.0, 1: 0.996742671009772, 2: 0.9984990619136961}","{0: 0.9894179894179894, 1: 0.996742671009772, 2: 0.9992489673300788}",2025-01-08/07:16:51
